Shen_ID	Size_voxels	Yeo7_ID	Yeo1_vox	Yeo1_per	Yeo2_vox	Yeo2_per	Yeo3_vox	Yeo3_per	Yeo4_vox	Yeo4_per	Yeo5_vox	Yeo5_per	Yeo6_vox	Yeo6_per	Yeo7_vox	Yeo7_per	Zero_vox	Zero_per
206	4475	9	36	0.804469273743017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4439	99.195530726257
207	5950	6	NaN	NaN	NaN	NaN	1769	29.7310924369748	38	0.638655462184874	NaN	NaN	2132	35.8319327731092	1144	19.2268907563025	867	14.5714285714286
208	1104	7	55	4.98188405797101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	748	67.7536231884058	301	27.2644927536232
209	5610	1	4419	78.7700534759358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1191	21.2299465240642
210	4823	3	NaN	NaN	1568	32.510885341074	698	14.4723201326975	1519	31.4949201741655	NaN	NaN	448	9.28882438316401	450	9.33029234916027	140	2.90275761973875
211	4770	4	NaN	NaN	618	12.9559748427673	NaN	NaN	2521	52.8511530398323	NaN	NaN	NaN	NaN	18	0.377358490566038	1613	33.8155136268344
212	3933	1	3527	89.6770912789219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102	2.59344012204424	304	7.72946859903382
213	4123	6	NaN	NaN	NaN	NaN	NaN	NaN	127	3.08028134853262	880	21.3436817851079	1873	45.4280863448945	396	9.60465680329857	847	20.5432937181664
214	10110	2	NaN	NaN	1316	13.0168150346192	NaN	NaN	14	0.138476755687438	NaN	NaN	NaN	NaN	8012	79.2482690405539	768	7.59643916913947
215	5344	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5344	100
216	6098	7	NaN	NaN	919	15.0705149229255	217	3.55854378484749	1015	16.6448015742867	NaN	NaN	753	12.3483109216136	2952	48.4093145293539	242	3.96851426697278
217	6903	5	10	0.144864551644213	NaN	NaN	21	0.304215558452847	NaN	NaN	6002	86.9477038968564	NaN	NaN	NaN	NaN	870	12.6032159930465
218	7189	1	3465	48.1986368062317	NaN	NaN	1975	27.4725274725275	NaN	NaN	NaN	NaN	713	9.91793017109473	492	6.84378912227013	544	7.56711642787592
219	2699	6	NaN	NaN	NaN	NaN	NaN	NaN	9	0.333456835865135	NaN	NaN	828	30.6780288995924	1807	66.950722489811	55	2.03779177473138
220	4040	4	NaN	NaN	NaN	NaN	NaN	NaN	2110	52.2277227722772	NaN	NaN	730	18.0693069306931	457	11.3118811881188	743	18.3910891089109
221	6423	1	1588	24.7236493850226	NaN	NaN	221	3.44075976957808	NaN	NaN	625	9.73065545695158	NaN	NaN	1189	18.5115989413047	2800	43.5933364471431
222	5073	2	NaN	NaN	4245	83.6782968657599	NaN	NaN	563	11.0979696432091	NaN	NaN	NaN	NaN	227	4.47466982061896	38	0.749063670411985
223	5451	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5451	100
224	3143	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3143	100
225	4574	6	NaN	NaN	NaN	NaN	5	0.109313511149978	248	5.42195015303892	NaN	NaN	2528	55.2689112374289	1624	35.5050284215129	169	3.69479667686926
226	5192	1	3127	60.2272727272727	NaN	NaN	1733	33.3782742681048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	332	6.3944530046225
227	5834	1	5570	95.4748028796709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	264	4.52519712032911
228	4026	4	NaN	NaN	308	7.65027322404372	NaN	NaN	1727	42.896174863388	NaN	NaN	93	2.30998509687034	1616	40.1390958768008	282	7.00447093889717
229	5553	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	0.0180082838105529	NaN	NaN	4700	84.6389339095984	852	15.343057806591
230	5134	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1205	23.4709777950915	3564	69.4195559018309	365	7.10946630307752
231	2986	1	2857	95.6798392498326	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0.100468854655057	126	4.21969189551239
232	3030	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64	2.11221122112211	2632	86.8646864686469	334	11.023102310231
233	5344	3	193	3.61152694610778	NaN	NaN	1939	36.2836826347305	1218	22.7919161676647	NaN	NaN	NaN	NaN	1382	25.8607784431138	612	11.4520958083832
234	5221	2	NaN	NaN	1963	37.598161271787	NaN	NaN	2328	44.5891591649109	NaN	NaN	112	2.14518291515035	492	9.42348209155334	326	6.24401455659835
235	4155	9	143	3.44163658243081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4012	96.5583634175692
236	6607	3	1109	16.7852277887089	NaN	NaN	4404	66.6565763584077	NaN	NaN	NaN	NaN	745	11.2759194793401	8	0.121083699107008	341	5.1611926744362
237	954	8	15	1.57232704402516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	0.209643605870021	937	98.2180293501048
238	5218	7	NaN	NaN	165	3.16213108470678	NaN	NaN	14	0.268302031429667	NaN	NaN	NaN	NaN	4855	93.0433116136451	184	3.52625527021847
239	6606	1	1636	24.7653648198607	NaN	NaN	4125	62.4432334241598	NaN	NaN	NaN	NaN	98	1.48349984862246	NaN	NaN	747	11.3079019073569
240	6288	1	4313	68.5909669211196	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1975	31.4090330788804
241	2859	4	NaN	NaN	910	31.8293109478839	NaN	NaN	1562	54.634487583071	3	0.104931794333683	77	2.69324938789787	261	9.12906610703043	46	1.60895417978314
242	5712	7	NaN	NaN	NaN	NaN	3	0.0525210084033613	NaN	NaN	513	8.98109243697479	312	5.46218487394958	4322	75.6652661064426	562	9.83893557422969
243	3393	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3393	100
244	4770	3	NaN	NaN	407	8.53249475890985	3681	77.1698113207547	NaN	NaN	NaN	NaN	1	0.0209643605870021	NaN	NaN	681	14.2767295597484
245	2888	7	NaN	NaN	NaN	NaN	NaN	NaN	101	3.49722991689751	NaN	NaN	4	0.138504155124654	2676	92.6592797783934	107	3.70498614958449
246	6088	3	NaN	NaN	1782	29.2706964520368	3091	50.7720105124836	NaN	NaN	NaN	NaN	6	0.0985545335085414	NaN	NaN	1209	19.8587385019711
247	4231	3	181	4.2779484755377	NaN	NaN	1756	41.5031907350508	NaN	NaN	1518	35.8780430158355	101	2.38714251949894	4	0.0945402978019381	671	15.8591349562751
